Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
252		0.2541		0.8313		0.0000		0.5223		0.00009789
253		0.2413		0.8517		0.0000		0.5285		0.00009609
254		0.2382		0.8533		0.0000		0.5312		0.00009429
255		0.2423		0.9041		0.0000		0.5262		0.00009248
256		0.2395		0.8397		0.0000		0.5302		0.00009067
257		0.2408		0.8528		0.0000		0.5253		0.00008885
258		0.2413		0.8294		0.0000		0.5349		0.00008703
259		0.2374		0.8340		0.0000		0.5305		0.00008521
260		0.2368		0.8304		0.0000		0.5262		0.00008338
261		0.2347		0.8459		0.0000		0.5266		0.00008155
262		0.2351		0.8347		0.0000		0.5349		0.00007971
263		0.2393		0.8285		0.0000		0.5297		0.00007787
264		0.2360		0.8372		0.0000		0.5326		0.00007602
265		0.2352		0.8567		0.0000		0.5317		0.00007417
266		0.2325		0.8606		0.0000		0.5401		0.00007231
267		0.2339		0.8614		0.0000		0.5336		0.00007045
268		0.2317		0.8425		0.0000		0.5328		0.00006858
269		0.2328		0.8463		0.0000		0.5178		0.00006671
270		0.2313		0.9038		0.0000		0.5445		0.00006483
271		0.2304		0.8722		0.0000		0.5338		0.00006295
272		0.2295		0.8764		0.0000		0.5177		0.00006105
273		0.2276		0.9081		0.0000		0.5393		0.00005916
274		0.2303		0.8846		0.0000		0.5345		0.00005725
275		0.2279		0.9002		0.0000		0.5344		0.00005534
276		0.2294		0.8696		0.0000		0.5361		0.00005342
277		0.2273		0.8606		0.0000		0.5311		0.00005149
278		0.2289		0.8746		0.0000		0.5358		0.00004956
279		0.2283		0.8208		0.0000		0.5302		0.00004761
280		0.2254		0.8684		0.0000		0.5343		0.00004566
281		0.2261		0.8438		0.0000		0.5295		0.00004370
282		0.2264		0.8513		0.0000		0.5321		0.00004173
283		0.2249		0.8513		0.0000		0.5414		0.00003975
284		0.2250		0.8514		0.0000		0.5408		0.00003775
285		0.2249		0.8593		0.0000		0.5391		0.00003575
